,Max Temperature In  C
O15:Capacity Planning41,25.42
O15:Capacity Planning42,25.42
O17:Capacity Planning0,25.26
O17:Capacity Planning1,25.26
O17:Capacity Planning2,25.25
O17:Capacity Planning3,25.25
O17:Capacity Planning4,25.25
O17:Capacity Planning5,25.26
O17:Capacity Planning6,25.26
O17:Capacity Planning7,25.27
O17:Capacity Planning8,25.27
O17:Capacity Planning9,25.28
O17:Capacity Planning10,25.28
O17:Capacity Planning11,25.29
O17:Capacity Planning12,25.29
O17:Capacity Planning13,25.29
O17:Capacity Planning14,25.3
O17:Capacity Planning15,25.3
O17:Capacity Planning16,25.3
O17:Capacity Planning17,25.3
O17:Capacity Planning18,25.31
O17:Capacity Planning19,25.31
O17:Capacity Planning20,25.31
O17:Capacity Planning21,25.31
O17:Capacity Planning22,25.31
O17:Capacity Planning23,25.31
O17:Capacity Planning24,25.31
O17:Capacity Planning25,25.31
O17:Capacity Planning26,25.31
O17:Capacity Planning27,25.31
O17:Capacity Planning28,25.31
O17:Capacity Planning29,25.3
O17:Capacity Planning30,25.3
O17:Capacity Planning31,25.3
O17:Capacity Planning32,25.3
O17:Capacity Planning33,25.3
O17:Capacity Planning34,25.29
O17:Capacity Planning35,25.29
O17:Capacity Planning36,25.28
O17:Capacity Planning37,25.28
O17:Capacity Planning38,25.28
O17:Capacity Planning39,25.28
O17:Capacity Planning40,25.28
O17:Capacity Planning41,25.29
O17:Capacity Planning42,25.29
O18:Capacity Planning0,25.2
O18:Capacity Planning1,25.2
O18:Capacity Planning2,25.2
O18:Capacity Planning3,25.2
O18:Capacity Planning4,25.2
O18:Capacity Planning5,25.2
O18:Capacity Planning6,25.2
O18:Capacity Planning7,25.21
O18:Capacity Planning8,25.21
O18:Capacity Planning9,25.22
O18:Capacity Planning10,25.22
O18:Capacity Planning11,25.23
O18:Capacity Planning12,25.23
O18:Capacity Planning13,25.23
O18:Capacity Planning14,25.24
O18:Capacity Planning15,25.24
O18:Capacity Planning16,25.25
O18:Capacity Planning17,25.25
O18:Capacity Planning18,25.26
O18:Capacity Planning19,25.26
O18:Capacity Planning20,25.26
O18:Capacity Planning21,25.26
O18:Capacity Planning22,25.26
O18:Capacity Planning23,25.27
O18:Capacity Planning24,25.27
O18:Capacity Planning25,25.27
O18:Capacity Planning26,25.27
O18:Capacity Planning27,25.28
O18:Capacity Planning28,25.28
O18:Capacity Planning29,25.28
O18:Capacity Planning30,25.28
O18:Capacity Planning31,25.28
O18:Capacity Planning32,25.28
O18:Capacity Planning33,25.28
O18:Capacity Planning34,25.28
O18:Capacity Planning35,25.28
O18:Capacity Planning36,25.28
O18:Capacity Planning37,25.28
O18:Capacity Planning38,25.28
O18:Capacity Planning39,25.28
O18:Capacity Planning40,25.28
O18:Capacity Planning41,25.28
O18:Capacity Planning42,25.28
O19:Capacity Planning0,25.19
O19:Capacity Planning1,25.19
O19:Capacity Planning2,25.19
O19:Capacity Planning3,25.19
O19:Capacity Planning4,25.19
O19:Capacity Planning5,25.2
O19:Capacity Planning6,25.2
O19:Capacity Planning7,25.21
O19:Capacity Planning8,25.21
O19:Capacity Planning9,25.22
O19:Capacity Planning10,25.22
O19:Capacity Planning11,25.23
O19:Capacity Planning12,25.23
O19:Capacity Planning13,25.23
O19:Capacity Planning14,25.24
O19:Capacity Planning15,25.24
O19:Capacity Planning16,25.25
O19:Capacity Planning17,25.25
O19:Capacity Planning18,25.26
O19:Capacity Planning19,25.26
O19:Capacity Planning20,25.27
O19:Capacity Planning21,25.27
O19:Capacity Planning22,25.27
O19:Capacity Planning23,25.28
O19:Capacity Planning24,25.28
O19:Capacity Planning25,25.29
O19:Capacity Planning26,25.29
O19:Capacity Planning27,25.29
O19:Capacity Planning28,25.29
O19:Capacity Planning29,25.29
O19:Capacity Planning30,25.29
O19:Capacity Planning31,25.29
O19:Capacity Planning32,25.29
O19:Capacity Planning33,25.29
O19:Capacity Planning34,25.28
O19:Capacity Planning35,25.28
O19:Capacity Planning36,25.28
O19:Capacity Planning37,25.28
O19:Capacity Planning38,25.28
O19:Capacity Planning39,25.28
O19:Capacity Planning40,25.28
O19:Capacity Planning41,25.29
O19:Capacity Planning42,25.29
O21:Capacity Planning0,25.19
O21:Capacity Planning1,25.19
O21:Capacity Planning2,25.19
O21:Capacity Planning3,25.19
O21:Capacity Planning4,25.19
O21:Capacity Planning5,25.19
O21:Capacity Planning6,25.19
O21:Capacity Planning7,25.19
O21:Capacity Planning8,25.19
O21:Capacity Planning9,25.2
O21:Capacity Planning10,25.2
O21:Capacity Planning11,25.2
O21:Capacity Planning12,25.2
O21:Capacity Planning13,25.2
O21:Capacity Planning14,25.22
O21:Capacity Planning15,25.22
O21:Capacity Planning16,25.23
O21:Capacity Planning17,25.23
O21:Capacity Planning18,25.24
O21:Capacity Planning19,25.24
O21:Capacity Planning20,25.25
O21:Capacity Planning21,25.25
O21:Capacity Planning22,25.25
O21:Capacity Planning23,25.27
O21:Capacity Planning24,25.27
O21:Capacity Planning25,25.27
O21:Capacity Planning26,25.27
O21:Capacity Planning27,25.28
O21:Capacity Planning28,25.28
O21:Capacity Planning29,25.29
O21:Capacity Planning30,25.29
O21:Capacity Planning31,25.29
O21:Capacity Planning32,25.29
O21:Capacity Planning33,25.29
O21:Capacity Planning34,25.29
O21:Capacity Planning35,25.29
O21:Capacity Planning36,25.29
O21:Capacity Planning37,25.29
O21:Capacity Planning38,25.29
O21:Capacity Planning39,25.29
O21:Capacity Planning40,25.29
O21:Capacity Planning41,25.29
O21:Capacity Planning42,25.29
O22:Capacity Planning0,25.23
O22:Capacity Planning1,25.23
O22:Capacity Planning2,25.2
O22:Capacity Planning3,25.2
O22:Capacity Planning4,25.2
O22:Capacity Planning5,25.2
O22:Capacity Planning6,25.2
O22:Capacity Planning7,25.19
O22:Capacity Planning8,25.19
O22:Capacity Planning9,25.18
O22:Capacity Planning10,25.18
O22:Capacity Planning11,25.18
O22:Capacity Planning12,25.18
O22:Capacity Planning13,25.18
O22:Capacity Planning14,25.19
O22:Capacity Planning15,25.19
O22:Capacity Planning16,25.2
O22:Capacity Planning17,25.2
O22:Capacity Planning18,25.2
O22:Capacity Planning19,25.2
O22:Capacity Planning20,25.21
O22:Capacity Planning21,25.21
O22:Capacity Planning22,25.21
O22:Capacity Planning23,25.22
O22:Capacity Planning24,25.22
O22:Capacity Planning25,25.22
O22:Capacity Planning26,25.22
O22:Capacity Planning27,25.23
O22:Capacity Planning28,25.23
O22:Capacity Planning29,25.24
O22:Capacity Planning30,25.24
O22:Capacity Planning31,25.24
O22:Capacity Planning32,25.24
O22:Capacity Planning33,25.24
O22:Capacity Planning34,25.25
O22:Capacity Planning35,25.25
O22:Capacity Planning36,25.25
O22:Capacity Planning37,25.25
O22:Capacity Planning38,25.26
O22:Capacity Planning39,25.26
O22:Capacity Planning40,25.26
O22:Capacity Planning41,25.26
O22:Capacity Planning42,25.26
R12:Capacity Planning0,25.22
R12:Capacity Planning1,25.22
R12:Capacity Planning2,25.2
R12:Capacity Planning3,25.2
R12:Capacity Planning4,25.2
R12:Capacity Planning5,25.19
R12:Capacity Planning6,25.19
R12:Capacity Planning7,25.19
R12:Capacity Planning8,25.19
R12:Capacity Planning9,25.19
R12:Capacity Planning10,25.19
R12:Capacity Planning11,25.19
R12:Capacity Planning12,25.19
R12:Capacity Planning13,25.19
R12:Capacity Planning14,25.19
R12:Capacity Planning15,25.19
R12:Capacity Planning16,25.2
R12:Capacity Planning17,25.2
R12:Capacity Planning18,25.2
R12:Capacity Planning19,25.2
R12:Capacity Planning20,25.21
R12:Capacity Planning21,25.21
R12:Capacity Planning22,25.21
R12:Capacity Planning23,25.21
R12:Capacity Planning24,25.21
R12:Capacity Planning25,25.22
R12:Capacity Planning26,25.22
R12:Capacity Planning27,25.22
R12:Capacity Planning28,25.22
R12:Capacity Planning29,25.23
R12:Capacity Planning30,25.23
R12:Capacity Planning31,25.23
R12:Capacity Planning32,25.23
R12:Capacity Planning33,25.23
R12:Capacity Planning34,25.23
R12:Capacity Planning35,25.23
R12:Capacity Planning36,25.24
R12:Capacity Planning37,25.24
R12:Capacity Planning38,25.24
R12:Capacity Planning39,25.24
R12:Capacity Planning40,25.24
R12:Capacity Planning41,25.24
R12:Capacity Planning42,25.24
R13:Capacity Planning0,25.2
R13:Capacity Planning1,25.2
R13:Capacity Planning2,25.2
R13:Capacity Planning3,25.2
R13:Capacity Planning4,25.2
R13:Capacity Planning5,25.2
R13:Capacity Planning6,25.2
R13:Capacity Planning7,25.2
R13:Capacity Planning8,25.2
R13:Capacity Planning9,25.2
R13:Capacity Planning10,25.2
R13:Capacity Planning11,25.21
R13:Capacity Planning12,25.21
R13:Capacity Planning13,25.21
R13:Capacity Planning14,25.22
R13:Capacity Planning15,25.22
R13:Capacity Planning16,25.23
R13:Capacity Planning17,25.23
R13:Capacity Planning18,25.24
R13:Capacity Planning19,25.24
R13:Capacity Planning20,25.25
R13:Capacity Planning21,25.25
R13:Capacity Planning22,25.25
R13:Capacity Planning23,25.26
R13:Capacity Planning24,25.26
R13:Capacity Planning25,25.27
R13:Capacity Planning26,25.27
R13:Capacity Planning27,25.28
R13:Capacity Planning28,25.28
R13:Capacity Planning29,25.28
R13:Capacity Planning30,25.28
R13:Capacity Planning31,25.28
R13:Capacity Planning32,25.28
R13:Capacity Planning33,25.28
R13:Capacity Planning34,25.28
R13:Capacity Planning35,25.28
R13:Capacity Planning36,25.28
R13:Capacity Planning37,25.28
R13:Capacity Planning38,25.28
R13:Capacity Planning39,25.28
R13:Capacity Planning40,25.28
R13:Capacity Planning41,25.28
R13:Capacity Planning42,25.28
R14:Capacity Planning0,25.19
R14:Capacity Planning1,25.19
R14:Capacity Planning2,25.2
R14:Capacity Planning3,25.2
R14:Capacity Planning4,25.2
R14:Capacity Planning5,25.21
R14:Capacity Planning6,25.21
R14:Capacity Planning7,25.22
R14:Capacity Planning8,25.22
R14:Capacity Planning9,25.22
R14:Capacity Planning10,25.22
R14:Capacity Planning11,25.24
R14:Capacity Planning12,25.24
R14:Capacity Planning13,25.24
R14:Capacity Planning14,25.25
R14:Capacity Planning15,25.25
R14:Capacity Planning16,25.26
R14:Capacity Planning17,25.26
R14:Capacity Planning18,25.27
R14:Capacity Planning19,25.27
R14:Capacity Planning20,25.28
R14:Capacity Planning21,25.28
R14:Capacity Planning22,25.28
R14:Capacity Planning23,25.28
R14:Capacity Planning24,25.28
R14:Capacity Planning25,25.28
R14:Capacity Planning26,25.28
R14:Capacity Planning27,25.28
R14:Capacity Planning28,25.28
R14:Capacity Planning29,25.28
R14:Capacity Planning30,25.28
R14:Capacity Planning31,25.28
R14:Capacity Planning32,25.28
R14:Capacity Planning33,25.28
R14:Capacity Planning34,25.28
R14:Capacity Planning35,25.28
R14:Capacity Planning36,25.28
R14:Capacity Planning37,25.28
R14:Capacity Planning38,25.28
R14:Capacity Planning39,25.28
R14:Capacity Planning40,25.28
R14:Capacity Planning41,25.29
R14:Capacity Planning42,25.29
R16:Capacity Planning0,25.21
R16:Capacity Planning1,25.21
R16:Capacity Planning2,25.21
R16:Capacity Planning3,25.21
R16:Capacity Planning4,25.21
R16:Capacity Planning5,25.23
R16:Capacity Planning6,25.23
R16:Capacity Planning7,25.24
R16:Capacity Planning8,25.24
R16:Capacity Planning9,25.25
R16:Capacity Planning10,25.25
R16:Capacity Planning11,25.26
R16:Capacity Planning12,25.26
R16:Capacity Planning13,25.26
R16:Capacity Planning14,25.27
R16:Capacity Planning15,25.27
R16:Capacity Planning16,25.27
R16:Capacity Planning17,25.27
R16:Capacity Planning18,25.28
R16:Capacity Planning19,25.28
R16:Capacity Planning20,25.28
R16:Capacity Planning21,25.28
R16:Capacity Planning22,25.28
R16:Capacity Planning23,25.28
R16:Capacity Planning24,25.28
R16:Capacity Planning25,25.28
R16:Capacity Planning26,25.28
R16:Capacity Planning27,25.28
R16:Capacity Planning28,25.28
R16:Capacity Planning29,25.29
R16:Capacity Planning30,25.29
R16:Capacity Planning31,25.29
R16:Capacity Planning32,25.28
R16:Capacity Planning33,25.28
R16:Capacity Planning34,25.28
R16:Capacity Planning35,25.28
R16:Capacity Planning36,25.27
R16:Capacity Planning37,25.27
R16:Capacity Planning38,25.27
R16:Capacity Planning39,25.27
R16:Capacity Planning40,25.27
R16:Capacity Planning41,25.27
R16:Capacity Planning42,25.27
R17:Capacity Planning0,25.21
R17:Capacity Planning1,25.21
R17:Capacity Planning2,25.22
R17:Capacity Planning3,25.22
R17:Capacity Planning4,25.22
R17:Capacity Planning5,25.23
R17:Capacity Planning6,25.23
R17:Capacity Planning7,25.24
R17:Capacity Planning8,25.24
R17:Capacity Planning9,25.25
R17:Capacity Planning10,25.25
R17:Capacity Planning11,25.26
R17:Capacity Planning12,25.26
R17:Capacity Planning13,25.26
R17:Capacity Planning14,25.27
R17:Capacity Planning15,25.27
R17:Capacity Planning16,25.28
R17:Capacity Planning17,25.28
R17:Capacity Planning18,25.28
R17:Capacity Planning19,25.28
R17:Capacity Planning20,25.29
R17:Capacity Planning21,25.29
R17:Capacity Planning22,25.29
R17:Capacity Planning23,25.3
R17:Capacity Planning24,25.3
R17:Capacity Planning25,25.31
R17:Capacity Planning26,25.31
R17:Capacity Planning27,25.31
R17:Capacity Planning28,25.31
R17:Capacity Planning29,25.31
R17:Capacity Planning30,25.31
R17:Capacity Planning31,25.31
R17:Capacity Planning32,25.32
R17:Capacity Planning33,25.32
R17:Capacity Planning34,25.31
R17:Capacity Planning35,25.31
R17:Capacity Planning36,25.3
R17:Capacity Planning37,25.3
R17:Capacity Planning38,25.3
R17:Capacity Planning39,25.3
R17:Capacity Planning40,25.3
R17:Capacity Planning41,25.3
R17:Capacity Planning42,25.3
R18:Capacity Planning0,25.26
R18:Capacity Planning1,25.26
R18:Capacity Planning2,25.25
R18:Capacity Planning3,25.25
R18:Capacity Planning4,25.25
R18:Capacity Planning5,25.26
R18:Capacity Planning6,25.26
R18:Capacity Planning7,25.28
R18:Capacity Planning8,25.28
R18:Capacity Planning9,25.29
R18:Capacity Planning10,25.29
R18:Capacity Planning11,25.31
R18:Capacity Planning12,25.31
R18:Capacity Planning13,25.31
R18:Capacity Planning14,25.32
R18:Capacity Planning15,25.32
R18:Capacity Planning16,25.33
R18:Capacity Planning17,25.33
R18:Capacity Planning18,25.34
R18:Capacity Planning19,25.34
R18:Capacity Planning20,25.34
R18:Capacity Planning21,25.34
R18:Capacity Planning22,25.34
R18:Capacity Planning23,25.35
R18:Capacity Planning24,25.35
R18:Capacity Planning25,25.34
R18:Capacity Planning26,25.34
R18:Capacity Planning27,25.33
R18:Capacity Planning28,25.33
R18:Capacity Planning29,25.33
R18:Capacity Planning30,25.33
R18:Capacity Planning31,25.33
R18:Capacity Planning32,25.32
R18:Capacity Planning33,25.32
R18:Capacity Planning34,25.31
R18:Capacity Planning35,25.31
R18:Capacity Planning36,25.32
R18:Capacity Planning37,25.32
R18:Capacity Planning38,25.33
R18:Capacity Planning39,25.33
R18:Capacity Planning40,25.33
R18:Capacity Planning41,25.39
R18:Capacity Planning42,25.39
R20:Capacity Planning0,25.26
R20:Capacity Planning1,25.26
R20:Capacity Planning2,25.27
R20:Capacity Planning3,25.27
R20:Capacity Planning4,25.27
R20:Capacity Planning5,25.28
R20:Capacity Planning6,25.28
R20:Capacity Planning7,25.29
R20:Capacity Planning8,25.29
R20:Capacity Planning9,25.3
R20:Capacity Planning10,25.3
R20:Capacity Planning11,25.31
R20:Capacity Planning12,25.31
R20:Capacity Planning13,25.31
R20:Capacity Planning14,25.34
R20:Capacity Planning15,25.34
R20:Capacity Planning16,25.35
R20:Capacity Planning17,25.35
R20:Capacity Planning18,25.37
R20:Capacity Planning19,25.37
R20:Capacity Planning20,25.39
R20:Capacity Planning21,25.39
R20:Capacity Planning22,25.39
R20:Capacity Planning23,25.42
R20:Capacity Planning24,25.42
R20:Capacity Planning25,25.44
R20:Capacity Planning26,25.44
R20:Capacity Planning27,25.46
R20:Capacity Planning28,25.46
R20:Capacity Planning29,25.48
R20:Capacity Planning30,25.48
R20:Capacity Planning31,25.48
R20:Capacity Planning32,25.5
R20:Capacity Planning33,25.5
R20:Capacity Planning34,25.52
R20:Capacity Planning35,25.52
R20:Capacity Planning36,25.55
R20:Capacity Planning37,25.55
R20:Capacity Planning38,25.59
R20:Capacity Planning39,25.59
R20:Capacity Planning40,25.59
R20:Capacity Planning41,25.65
R20:Capacity Planning42,25.65
R21:Capacity Planning0,25.31
R21:Capacity Planning1,25.31
R21:Capacity Planning2,25.28
R21:Capacity Planning3,25.28
R21:Capacity Planning4,25.28
R21:Capacity Planning5,25.28
R21:Capacity Planning6,25.28
R21:Capacity Planning7,25.3
R21:Capacity Planning8,25.3
R21:Capacity Planning9,25.31
R21:Capacity Planning10,25.31
R21:Capacity Planning11,25.33
R21:Capacity Planning12,25.33
R21:Capacity Planning13,25.33
R21:Capacity Planning14,25.35
R21:Capacity Planning15,25.35
R21:Capacity Planning16,25.37
R21:Capacity Planning17,25.37
R21:Capacity Planning18,25.38
R21:Capacity Planning19,25.38
R21:Capacity Planning20,25.39
R21:Capacity Planning21,25.39
R21:Capacity Planning22,25.39
R21:Capacity Planning23,25.41
R21:Capacity Planning24,25.41
R21:Capacity Planning25,25.42
R21:Capacity Planning26,25.42
R21:Capacity Planning27,25.44
R21:Capacity Planning28,25.44
R21:Capacity Planning29,25.45
R21:Capacity Planning30,25.45
R21:Capacity Planning31,25.45
R21:Capacity Planning32,25.46
R21:Capacity Planning33,25.46
R21:Capacity Planning34,25.49
R21:Capacity Planning35,25.49
R21:Capacity Planning36,25.53
R21:Capacity Planning37,25.53
R21:Capacity Planning38,25.59
R21:Capacity Planning39,25.59
R21:Capacity Planning40,25.59
R21:Capacity Planning41,25.69
R21:Capacity Planning42,25.69
